2459313.500000000, A.D. 2021-Apr-09 00:00:00.0000, -2.954667983997377E-01, -2.680853576435681E+00,  7.336241435823090E-01,
2459316.500000000, A.D. 2021-Apr-12 00:00:00.0000, -2.895105976839653E-01, -2.639962198681025E+00,  7.344148959994574E-01,
2459319.500000000, A.D. 2021-Apr-15 00:00:00.0000, -2.859357238254134E-01, -2.599852343216645E+00,  7.351538500658339E-01,
2459322.500000000, A.D. 2021-Apr-18 00:00:00.0000, -2.846803946523215E-01, -2.560652234618163E+00,  7.358402696125150E-01,
2459325.500000000, A.D. 2021-Apr-21 00:00:00.0000, -2.856742911384852E-01, -2.522482829312130E+00,  7.364732975262663E-01,
2459328.500000000, A.D. 2021-Apr-24 00:00:00.0000, -2.888405758532126E-01, -2.485456377875410E+00,  7.370521488515606E-01,
2459331.500000000, A.D. 2021-Apr-27 00:00:00.0000, -2.940993830331173E-01, -2.449675110401161E+00,  7.375764285343814E-01,
2459334.500000000, A.D. 2021-Apr-30 00:00:00.0000, -3.013734857460500E-01, -2.415233674088134E+00,  7.380465252837044E-01,
2459337.500000000, A.D. 2021-May-03 00:00:00.0000, -3.105890321042452E-01, -2.382227456870989E+00,  7.384634016149564E-01,
2459340.500000000, A.D. 2021-May-06 00:00:00.0000, -3.216677488906527E-01, -2.350756463118414E+00,  7.388277738729737E-01,
2459343.500000000, A.D. 2021-May-09 00:00:00.0000, -3.345214249218708E-01, -2.320920833362979E+00,  7.391397354396904E-01,
2459346.500000000, A.D. 2021-May-12 00:00:00.0000, -3.490519810866877E-01, -2.292816084979165E+00,  7.393988727332350E-01,
2459349.500000000, A.D. 2021-May-15 00:00:00.0000, -3.651530775203075E-01, -2.266530443748212E+00,  7.396044547904125E-01,
2459352.500000000, A.D. 2021-May-18 00:00:00.0000, -3.827119870898337E-01, -2.242143078497095E+00,  7.397556217403216E-01,
2459355.500000000, A.D. 2021-May-21 00:00:00.0000, -4.016118513218413E-01, -2.219722849300698E+00,  7.398515930558914E-01,
2459358.500000000, A.D. 2021-May-24 00:00:00.0000, -4.217347959878364E-01, -2.199327528162533E+00,  7.398919374555755E-01,
2459361.500000000, A.D. 2021-May-27 00:00:00.0000, -4.429667313861125E-01, -2.181005297087875E+00,  7.398769196325827E-01,
2459364.500000000, A.D. 2021-May-30 00:00:00.0000, -4.651998974691565E-01, -2.164801760610798E+00,  7.398074786206160E-01,
2459367.500000000, A.D. 2021-Jun-02 00:00:00.0000, -4.883265557596775E-01, -2.150766154737143E+00,  7.396844563184896E-01,
2459370.500000000, A.D. 2021-Jun-05 00:00:00.0000, -5.122315495032149E-01, -2.138948041389500E+00,  7.395080211076638E-01,
2459373.500000000, A.D. 2021-Jun-08 00:00:00.0000, -5.367917911280788E-01, -2.129391502116191E+00,  7.392777753062063E-01,
2459376.500000000, A.D. 2021-Jun-11 00:00:00.0000, -5.618783719695091E-01, -2.122132377115415E+00,  7.389929992249439E-01,
2459379.500000000, A.D. 2021-Jun-14 00:00:00.0000, -5.873584202297264E-01, -2.117196787637157E+00,  7.386528347210747E-01,
2459382.500000000, A.D. 2021-Jun-17 00:00:00.0000, -6.130973599710303E-01, -2.114599888239304E+00,  7.382564969143663E-01,
2459385.500000000, A.D. 2021-Jun-20 00:00:00.0000, -6.389621057502997E-01, -2.114345427492592E+00,  7.378035415815957E-01,
2459388.500000000, A.D. 2021-Jun-23 00:00:00.0000, -6.648251243252286E-01, -2.116427288733546E+00,  7.372941446774255E-01,
2459391.500000000, A.D. 2021-Jun-26 00:00:00.0000, -6.905672264128481E-01, -2.120835022693262E+00,  7.367291456556339E-01,
2459394.500000000, A.D. 2021-Jun-29 00:00:00.0000, -7.160735048638878E-01, -2.127560666295449E+00,  7.361094562757613E-01,
2459397.500000000, A.D. 2021-Jul-02 00:00:00.0000, -7.412251593043823E-01, -2.136597785440118E+00,  7.354353575561782E-01,
2459400.500000000, A.D. 2021-Jul-05 00:00:00.0000, -7.658973290471440E-01, -2.147935145053722E+00,  7.347064882223514E-01,
2459403.500000000, A.D. 2021-Jul-08 00:00:00.0000, -7.899614880197847E-01, -2.161553181194761E+00,  7.339221434124912E-01,
2459406.500000000, A.D. 2021-Jul-11 00:00:00.0000, -8.132875660163081E-01, -2.177422790349792E+00,  7.330814784945099E-01,
2459409.500000000, A.D. 2021-Jul-14 00:00:00.0000, -8.357460026694242E-01, -2.195504171169917E+00,  7.321837045064010E-01,
2459412.500000000, A.D. 2021-Jul-17 00:00:00.0000, -8.572110601375300E-01, -2.215746316659288E+00,  7.312283683197885E-01,
2459415.500000000, A.D. 2021-Jul-20 00:00:00.0000, -8.775648120633563E-01, -2.238088894234695E+00,  7.302156110251791E-01,
2459418.500000000, A.D. 2021-Jul-23 00:00:00.0000, -8.966994667325264E-01, -2.262467271453326E+00,  7.291461806927664E-01,
2459421.500000000, A.D. 2021-Jul-26 00:00:00.0000, -9.145145899734681E-01, -2.288818677426921E+00,  7.280209757504172E-01,
2459424.500000000, A.D. 2021-Jul-29 00:00:00.0000, -9.309097483601128E-01, -2.317083083719485E+00,  7.268403739720142E-01,
2459427.500000000, A.D. 2021-Aug-01 00:00:00.0000, -9.457806856090126E-01, -2.347197629346271E+00,  7.256040726892261E-01,
2459430.500000000, A.D. 2021-Aug-04 00:00:00.0000, -9.590212332456032E-01, -2.379092100977442E+00,  7.243113832195157E-01,
2459433.500000000, A.D. 2021-Aug-07 00:00:00.0000, -9.705258872961758E-01, -2.412687627839045E+00,  7.229614806174645E-01,
