2459303.500000000, A.D. 2021-Mar-30 00:00:00.0000, -5.410196806071188E-01,  1.527425800063125E+00,  4.511268429593526E-02, -1.268229893501704E-02, -3.449583886124331E-03,  2.390018960442475E-04,  9.362339719875549E-03,  1.621038871769302E+00,  9.889780788360553E-04,
2459304.500000000, A.D. 2021-Mar-31 00:00:00.0000, -5.536830374784029E-01,  1.523922675958585E+00,  4.535009959070368E-02, -1.264427750703249E-02, -3.556591875336149E-03,  2.358268453772281E-04,  9.368029351815042E-03,  1.622024001001518E+00,  9.812713861200770E-04,
2459305.500000000, A.D. 2021-Apr-01 00:00:00.0000, -5.663079618736299E-01,  1.520312762100824E+00,  4.558433433237965E-02, -1.260543481481087E-02, -3.663162601645703E-03,  2.326408141280739E-04,  9.373674318827969E-03,  1.623001396741429E+00,  9.735111906846438E-04,
2459306.500000000, A.D. 2021-Apr-02 00:00:00.0000, -5.788936350959591E-01,  1.516596498101926E+00,  4.581537765001583E-02, -1.256577600753286E-02, -3.769291353671214E-03,  2.294440305150467E-04,  9.379274313648567E-03,  1.623971005787619E+00,  9.656981207282360E-04,
2459307.500000000, A.D. 2021-Apr-03 00:00:00.0000, -5.914392435903953E-01,  1.512774328260038E+00,  4.604321889737019E-02, -1.252530622377984E-02, -3.874973484054832E-03,  2.262367173583943E-04,  9.384829032632800E-03,  1.624932775565752E+00,  9.578327912808387E-04,
2459308.500000000, A.D. 2021-Apr-04 00:00:00.0000, -6.039439789392094E-01,  1.508846701505074E+00,  4.626784765143165E-02, -1.248403059260356E-02, -3.980204401099151E-03,  2.230190931418461E-04,  9.390338175745116E-03,  1.625886654126284E+00,  9.499158117120907E-04,
2459309.500000000, A.D. 2021-Apr-05 00:00:00.0000, -6.164070378563969E-01,  1.504814071344554E+00,  4.648925371063847E-02, -1.244195423600455E-02, -4.084979555591392E-03,  2.197913744812768E-04,  9.395801446540545E-03,  1.626832590141359E+00,  9.419477981998039E-04,
2459310.500000000, A.D. 2021-Apr-06 00:00:00.0000, -6.288276221827235E-01,  1.500676895809539E+00,  4.670742709349911E-02, -1.239908227332102E-02, -4.189294437942442E-03,  2.165537790655048E-04,  9.401218552145211E-03,  1.627770532901436E+00,  9.339293773518397E-04,
2459311.500000000, A.D. 2021-Apr-07 00:00:00.0000, -6.412049388816775E-01,  1.496435637401592E+00,  4.692235803785109E-02, -1.235541982445740E-02, -4.293144589831232E-03,  2.133065267283204E-04,  9.406589203241396E-03,  1.628700432312707E+00,  9.258611761618366E-04,
2459312.500000000, A.D. 2021-Apr-08 00:00:00.0000, -6.535382000349315E-01,  1.492090763041197E+00,  4.713403700012950E-02, -1.231097200989544E-02, -4.396525614842376E-03,  2.100498385681967E-04,  9.411913114056423E-03,  1.629622238895165E+00,  9.177438119180648E-04,
2459313.500000000, A.D. 2021-Apr-09 00:00:00.0000, -6.658266228362230E-01,  1.487642744016800E+00,  4.734245465405618E-02, -1.226574394800755E-02, -4.499433177335272E-03,  2.067839355393759E-04,  9.417190002348169E-03,  1.630535903780102E+00,  9.095778919541711E-04,
2459314.500000000, A.D. 2021-Apr-10 00:00:00.0000, -6.780694295843290E-01,  1.483092055933518E+00,  4.754760188897404E-02, -1.221974074858684E-02, -4.601862995289600E-03,  2.035090358688308E-04,  9.422419589383443E-03,  1.631441378706363E+00,  9.013640171604378E-04,
2459315.500000000, A.D. 2021-Apr-11 00:00:00.0000, -6.902658476764217E-01,  1.478439178662073E+00,  4.774946980843010E-02, -1.217296750491869E-02, -4.703810834700941E-03,  2.002253516968357E-04,  9.427601599915359E-03,  1.632338616016426E+00,  8.931027830651253E-04,
2459316.500000000, A.D. 2021-Apr-12 00:00:00.0000, -7.024151096018354E-01,  1.473684596289417E+00,  4.794804972916529E-02, -1.212542929315582E-02, -4.805272505599222E-03,  1.969330891653552E-04,  9.432735762167743E-03,  1.633227568653705E+00,  8.847947822669576E-04,
2459317.500000000, A.D. 2021-Apr-13 00:00:00.0000, -7.145164529352771E-01,  1.468828797071404E+00,  4.814333318011314E-02, -1.207713118315190E-02, -4.906243858978370E-03,  1.936324541041635E-04,  9.437821807825958E-03,  1.634108190160960E+00,  8.764406111378129E-04,
2459318.500000000, A.D. 2021-Apr-14 00:00:00.0000, -7.265691203291256E-01,  1.463872273385997E+00,  4.833531190112288E-02, -1.202807824907247E-02, -5.006720788145862E-03,  1.903236574086211E-04,  9.442859472025104E-03,  1.634980434678258E+00,  8.680408728858877E-04,
2459319.500000000, A.D. 2021-Apr-15 00:00:00.0000, -7.385723595055813E-01,  1.458815521685698E+00,  4.852397784162851E-02, -1.197827556696252E-02, -5.106699233634006E-03,  1.870069137026769E-04,  9.447848493330694E-03,  1.635844256939618E+00,  8.595961718637264E-04,
2459320.500000000, A.D. 2021-Apr-16 00:00:00.0000, -7.505254232493970E-01,  1.453659042449927E+00,  4.870932315963011E-02, -1.192772820485230E-02, -5.206175188067146E-03,  1.836824361674897E-04,  9.452788613717724E-03,  1.636699612269397E+00,  8.511071044055618E-04,
2459321.500000000, A.D. 2021-Apr-17 00:00:00.0000, -7.624275694007295E-01,  1.448403340138931E+00,  4.889134022089807E-02, -1.187644121729300E-02, -5.305144699173455E-03,  1.803504334811939E-04,  9.457679578555365E-03,  1.637546456579633E+00,  8.425742531374614E-04,
2459322.500000000, A.D. 2021-Apr-18 00:00:00.0000, -7.742780608469160E-01,  1.443048923149382E+00,  4.907002159786537E-02, -1.182441964532041E-02, -5.403603866463100E-03,  1.770111098145456E-04,  9.462521136594661E-03,  1.638384746367918E+00,  8.339981893778378E-04,
