2459317.500000000, A.D. 2021-Apr-13 00:00:00.0000, -4.609590495272074E-01,  1.976078508811692E+00, -2.858867137386048E-02,
2459318.500000000, A.D. 2021-Apr-14 00:00:00.0000, -4.734228977997709E-01,  1.974907816788191E+00, -2.734505388750583E-02,
2459319.500000000, A.D. 2021-Apr-15 00:00:00.0000, -4.858701110542993E-01,  1.973666842529817E+00, -2.610045613275916E-02,
2459320.500000000, A.D. 2021-Apr-16 00:00:00.0000, -4.983002879359504E-01,  1.972355805227772E+00, -2.485492484776900E-02,
2459321.500000000, A.D. 2021-Apr-17 00:00:00.0000, -5.107130298755670E-01,  1.970974926209261E+00, -2.360850658069302E-02,
2459322.500000000, A.D. 2021-Apr-18 00:00:00.0000, -5.231079410943641E-01,  1.969524428901863E+00, -2.236124768793526E-02,
2459323.500000000, A.D. 2021-Apr-19 00:00:00.0000, -5.354846286081808E-01,  1.968004538798087E+00, -2.111319433243524E-02,
2459324.500000000, A.D. 2021-Apr-20 00:00:00.0000, -5.478427022313039E-01,  1.966415483420127E+00, -1.986439248200297E-02,
2459325.500000000, A.D. 2021-Apr-21 00:00:00.0000, -5.601817745798673E-01,  1.964757492284811E+00, -1.861488790770571E-02,
2459326.500000000, A.D. 2021-Apr-22 00:00:00.0000, -5.725014610748362E-01,  1.963030796868747E+00, -1.736472618229795E-02,
2459327.500000000, A.D. 2021-Apr-23 00:00:00.0000, -5.848013799445791E-01,  1.961235630573680E+00, -1.611395267870157E-02,
2459328.500000000, A.D. 2021-Apr-24 00:00:00.0000, -5.970811522270382E-01,  1.959372228692055E+00, -1.486261256853227E-02,
2459329.500000000, A.D. 2021-Apr-25 00:00:00.0000, -6.093404017714975E-01,  1.957440828372798E+00, -1.361075082067265E-02,
2459330.500000000, A.D. 2021-Apr-26 00:00:00.0000, -6.215787552399625E-01,  1.955441668587307E+00, -1.235841219988889E-02,
2459331.500000000, A.D. 2021-Apr-27 00:00:00.0000, -6.337958421081514E-01,  1.953374990095669E+00, -1.110564126549675E-02,
2459332.500000000, A.D. 2021-Apr-28 00:00:00.0000, -6.459912946661031E-01,  1.951241035413106E+00, -9.852482370068900E-03,
2459333.500000000, A.D. 2021-Apr-29 00:00:00.0000, -6.581647480184191E-01,  1.949040048776633E+00, -8.598979658190495E-03,
2459334.500000000, A.D. 2021-Apr-30 00:00:00.0000, -6.703158400841274E-01,  1.946772276111965E+00, -7.345177065253821E-03,
2459335.500000000, A.D. 2021-May-01 00:00:00.0000, -6.824442115961864E-01,  1.944437965000642E+00, -6.091118316301645E-03,
2459336.500000000, A.D. 2021-May-02 00:00:00.0000, -6.945495061006355E-01,  1.942037364647395E+00, -4.836846924909312E-03,
2459337.500000000, A.D. 2021-May-03 00:00:00.0000, -7.066313699553910E-01,  1.939570725847754E+00, -3.582406192111970E-03,
2459338.500000000, A.D. 2021-May-04 00:00:00.0000, -7.186894523287005E-01,  1.937038300955882E+00, -2.327839205371729E-03,
2459339.500000000, A.D. 2021-May-05 00:00:00.0000, -7.307234051972593E-01,  1.934440343852668E+00, -1.073188837586961E-03,
2459340.500000000, A.D. 2021-May-06 00:00:00.0000, -7.427328833439947E-01,  1.931777109914053E+00,  1.815022538573628E-04,
2459341.500000000, A.D. 2021-May-07 00:00:00.0000, -7.547175443555276E-01,  1.929048855979606E+00,  1.436191627999795E-03,
2459342.500000000, A.D. 2021-May-08 00:00:00.0000, -7.666770486193136E-01,  1.926255840321352E+00,  2.690837061173083E-03,
2459343.500000000, A.D. 2021-May-09 00:00:00.0000, -7.786110593204733E-01,  1.923398322612851E+00,  3.945396547832711E-03,
2459344.500000000, A.D. 2021-May-10 00:00:00.0000, -7.905192424383173E-01,  1.920476563898531E+00,  5.199828301350078E-03,
2459345.500000000, A.D. 2021-May-11 00:00:00.0000, -8.024012667425692E-01,  1.917490826563278E+00,  6.454090754766034E-03,
2459346.500000000, A.D. 2021-May-12 00:00:00.0000, -8.142568037892957E-01,  1.914441374302285E+00,  7.708142561504871E-03,
2459347.500000000, A.D. 2021-May-13 00:00:00.0000, -8.260855279165469E-01,  1.911328472091161E+00,  8.961942596053452E-03,
2459348.500000000, A.D. 2021-May-14 00:00:00.0000, -8.378871162397165E-01,  1.908152386156310E+00,  1.021544995460049E-02,
2459349.500000000, A.D. 2021-May-15 00:00:00.0000, -8.496612486466202E-01,  1.904913383945557E+00,  1.146862395564239E-02,
2459350.500000000, A.D. 2021-May-16 00:00:00.0000, -8.614076077923069E-01,  1.901611734099059E+00,  1.272142414055035E-02,
2459351.500000000, A.D. 2021-May-17 00:00:00.0000, -8.731258790936001E-01,  1.898247706420470E+00,  1.397381027410337E-02,
2459352.500000000, A.D. 2021-May-18 00:00:00.0000, -8.848157507233808E-01,  1.894821571848376E+00,  1.522574234498739E-02,
2459353.500000000, A.D. 2021-May-19 00:00:00.0000, -8.964769136046151E-01,  1.891333602428001E+00,  1.647718056625693E-02,
2459354.500000000, A.D. 2021-May-20 00:00:00.0000, -9.081090614041294E-01,  1.887784071283182E+00,  1.772808537576486E-02,
2459355.500000000, A.D. 2021-May-21 00:00:00.0000, -9.197118905261458E-01,  1.884173252588612E+00,  1.897841743655990E-02,
2459356.500000000, A.D. 2021-May-22 00:00:00.0000, -9.312851001055733E-01,  1.880501421542353E+00,  2.022813763724821E-02,
2459357.500000000, A.D. 2021-May-23 00:00:00.0000, -9.428283920010693E-01,  1.876768854338626E+00,  2.147720709232485E-02,
